Date;Region/City;Region/City-Eng;Region_ID;Day-Confirmed;Day-Deaths;Day-Recovered;Confirmed;Deaths;Recovered
29/03/2020;Республика Саха (Якутия);Sakha Republic (Yakutia);1400;10;0;0;150;0;0
29/03/2020;Ярославская область;Yaroslavl Oblast;7600;10;0;0;30;0;0
30/03/2020;Архангельская область;Arkhangelsk Oblast;2900;40;0;0;70;0;0
30/03/2020;Астраханская область;Astrakhan Oblast;3000;20;0;0;20;0;0
30/03/2020;Белгородская область;Belgorod Oblast;3100;30;0;0;50;0;0
30/03/2020;Владимирская область;Vladimir Oblast;3300;20;0;0;20;0;0
30/03/2020;Ивановская область;Ivanovo Oblast;3700;20;0;0;90;0;0
30/03/2020;Иркутская область;Irkutsk Oblast;3800;10;0;0;20;0;0
30/03/2020;Кабардино-Балкарская Республика;Kabardino-Balkar Republic;700;20;0;0;60;0;0
30/03/2020;Калининградская область;Kaliningrad Oblast;3900;10;0;0;120;0;20
30/03/2020;Калужская область;Kaluga Oblast;4000;10;0;0;30;0;0
30/03/2020;Кировская область;Kirov Oblast;4300;30;0;0;120;0;20
30/03/2020;Красноярский край;Krasnoyarsk Krai;2400;20;0;0;140;0;30
30/03/2020;Ленинградская область;Leningrad Oblast;4700;20;0;0;110;0;0
30/03/2020;Липецкая область;Lipetsk Oblast;4800;10;0;0;100;0;30
30/03/2020;Москва;Moscow (city);7700;2120;0;0;12260;80;280
30/03/2020;Московская область;Moscow Oblast;5000;70;0;40;1190;0;140
30/03/2020;Мурманская область;Murmansk Oblast;5100;20;0;10;50;0;10
30/03/2020;Нижегородская область;Nizhny Novgorod Oblast;5200;0;0;0;110;0;10
30/03/2020;Новосибирская область;Novosibirsk Oblast;5400;10;0;0;90;0;0
30/03/2020;Оренбургская область;Orenburg Oblast;5600;10;0;0;70;10;0
30/03/2020;Пермский край;Perm Krai;5900;20;0;0;130;0;0
30/03/2020;Псковская область;Pskov Oblast;6000;30;0;0;90;10;0
30/03/2020;Республика Адыгея;Republic of Adygea;100;30;0;0;40;0;0
30/03/2020;Республика Дагестан;Republic of Dagestan;500;30;0;0;40;0;0
30/03/2020;Республика Калмыкия;Republic of Kalmykia;800;10;0;0;10;0;0
30/03/2020;Республика Коми;Komi Republic;1100;150;0;0;220;0;10
30/03/2020;Рязанская область;Ryazan Oblast;6200;20;0;0;50;0;0
30/03/2020;Санкт-Петербург;Saint Petersburg (city);7800;80;10;0;500;20;50
30/03/2020;Ставропольский край;Smolensk Oblast;2600;10;0;0;60;0;0
30/03/2020;Тамбовская область;Tambov Oblast;6800;0;0;0;30;0;20
30/03/2020;Тверская область;Tver Oblast;6900;10;0;0;40;0;20
30/03/2020;Тульская область;Tula Oblast;7100;10;0;0;120;0;0
30/03/2020;Челябинская область;Chelyabinsk Oblast;7400;0;0;0;140;0;0
30/03/2020;Ярославская область;Yaroslavl Oblast;7600;0;0;10;30;0;10
31/03/2020;Алтайский край;Altai Krai;2200;10;0;0;20;0;0
31/03/2020;Белгородская область;Belgorod Oblast;3100;0;0;10;50;0;10
31/03/2020;Владимирская область;Vladimir Oblast;3300;0;10;0;20;10;0
31/03/2020;Воронежская область;Voronezh Oblast;3600;20;0;20;80;0;20
31/03/2020;Иркутская область;Irkutsk Oblast;3800;10;0;0;30;0;0
31/03/2020;Кировская область;Kirov Oblast;4300;0;0;10;120;0;30
31/03/2020;Костромская область;Kostroma Oblast;4400;10;0;0;20;0;0
31/03/2020;Краснодарский край;Krasnodar Krai;2300;0;0;10;170;0;20
31/03/2020;Красноярский край;Krasnoyarsk Krai;2400;0;0;10;140;0;40
31/03/2020;Курганская область;Kurgan Oblast;4500;0;0;10;10;0;10
31/03/2020;Ленинградская область;Leningrad Oblast;4700;30;0;10;140;0;10
31/03/2020;Магаданская область;Magadan Oblast;4900;10;0;0;10;0;0
31/03/2020;Москва;Moscow (city);7700;3870;30;420;16130;110;700
31/03/2020;Московская область;Moscow Oblast;5000;0;10;0;1190;10;140
31/03/2020;Мурманская область;Murmansk Oblast;5100;60;0;0;110;0;10
31/03/2020;Нижегородская область;Nizhny Novgorod Oblast;5200;10;0;0;120;0;10
31/03/2020;Пензенская область;Penza Oblast;5800;50;10;0;120;10;0
31/03/2020;Приморский край;Primorsky Krai;2500;20;0;10;40;0;10
31/03/2020;Псковская область;Pskov Oblast;6000;0;10;0;90;20;0
31/03/2020;Республика Башкортостан;Republic of Bashkortostan;200;20;0;0;70;0;0
31/03/2020;Республика Бурятия;Republic of Buryatia;300;60;0;0;190;0;0
31/03/2020;Республика Дагестан;Republic of Dagestan;500;90;0;0;130;0;0
31/03/2020;Республика Калмыкия;Republic of Kalmykia;800;10;0;0;20;0;0
31/03/2020;Республика Крым;Republic of Crimea;8200;10;0;0;160;0;0
31/03/2020;Республика Татарстан;Republic of Tatarstan;1600;50;0;0;190;0;10
31/03/2020;Ростовская область;Rostov Oblast;6100;30;0;0;50;0;0
31/03/2020;Рязанская область;Ryazan Oblast;6200;0;0;0;50;0;0
31/03/2020;Самарская область;Samara Oblast;6300;10;0;0;150;0;10
31/03/2020;Санкт-Петербург;Saint Petersburg (city);7800;480;0;20;980;20;70
31/03/2020;Свердловская область;Sverdlovsk Oblast;6600;90;0;0;330;0;10
31/03/2020;Тамбовская область;Tambov Oblast;6800;0;0;0;30;0;10
31/03/2020;Тульская область;Tula Oblast;7100;0;0;30;120;0;30
31/03/2020;Тюменская область;Tyumen Oblast;7200;20;0;10;60;0;20
31/03/2020;Хабаровский край;Khabarovsk Krai;2700;10;0;0;80;0;0
31/03/2020;Челябинская область;Chelyabinsk Oblast;7400;0;0;0;140;0;0
01/04/2020;Алтайский край;Altai Krai;2200;10;0;0;30;0;0
01/04/2020;Брянская область;Bryansk Oblast;3200;20;0;0;50;0;0
01/04/2020;Владимирская область;Vladimir Oblast;3300;10;0;0;30;10;0
01/04/2020;Волгоградская область;Volgograd Oblast;3400;40;0;0;80;0;0
01/04/2020;Вологодская область;Vologda Oblast;3500;70;0;0;90;0;0
01/04/2020;Воронежская область;Voronezh Oblast;3600;40;0;0;120;0;20
01/04/2020;Ивановская область;Ivanovo Oblast;3700;20;0;0;110;0;0
01/04/2020;Кабардино-Балкарская Республика;Kabardino-Balkar Republic;700;20;0;0;80;0;0
01/04/2020;Калининградская область;Kaliningrad Oblast;3900;0;0;30;120;0;50
01/04/2020;Костромская область;Kostroma Oblast;4400;10;0;0;30;0;0
01/04/2020;Краснодарский край;Krasnodar Krai;2300;50;0;10;220;0;30
01/04/2020;Красноярский край;Krasnoyarsk Krai;2400;60;0;0;200;0;40
01/04/2020;Курская область;Kursk Oblast;4600;30;0;0;30;0;0
01/04/2020;Ленинградская область;Leningrad Oblast;4700;60;0;0;200;0;10
01/04/2020;Липецкая область;Lipetsk Oblast;4800;10;0;0;110;0;30
01/04/2020;Москва;Moscow (city);7700;2670;50;450;18800;160;1150
01/04/2020;Московская область;Moscow Oblast;5000;150;10;30;1340;20;170
01/04/2020;Новосибирская область;Novosibirsk Oblast;5400;10;0;20;100;0;20
